ID;ROW_NUMBER;PLANT;SIM_ROUND;SIM_STEP;SIM_DATE;SIM_CALENDAR_DATE;SIM_PERIOD;SIM_ELAPSED_STEPS;STORAGE_LOCATION;MATERIAL_NUMBER;MATERIAL_DESCRIPTION;MATERIAL_TYPE;MATERIAL_CODE;MATERIAL_SIZE;MATERIAL_LABEL;INVENTORY_OPENING_BALANCE;UNIT
.1~12316;12316;G5;03;08;03/08;28/01/2021 00:00;6;28;03;GG-T04;Cheese;Trading Goods;T04;;Cheese;177;ST
.1~12322;12322;G5;03;08;03/08;28/01/2021 00:00;6;28;03N;GG-T04;Cheese;Trading Goods;T04;;Cheese;200;ST
.1~12335;12335;G5;03;08;03/08;28/01/2021 00:00;6;28;03W;GG-T05;Butter;Trading Goods;T05;;Butter;115;ST
.1~12202;12202;G5;03;03;03/03;23/01/2021 00:00;5;23;03N;GG-T04;Cheese;Trading Goods;T04;;Cheese;200;ST
.1~12215;12215;G5;03;03;03/03;23/01/2021 00:00;5;23;03W;GG-T05;Butter;Trading Goods;T05;;Butter;115;ST
.1~12273;12273;G5;03;06;03/06;26/01/2021 00:00;6;26;03N;GG-T03;Yoghurt;Trading Goods;T03;;Yoghurt;183;ST
.1~12302;12302;G5;03;07;03/07;27/01/2021 00:00;6;27;03S;GG-T02;Cream;Trading Goods;T02;;Cream;155;ST
.1~12028;12028;G5;02;06;02/06;16/01/2021 00:00;4;16;03;GG-T04;Cheese;Trading Goods;T04;;Cheese;654;ST
.1~12115;12115;G5;02;09;02/09;19/01/2021 00:00;4;19;03W;GG-T01;Milk;Trading Goods;T01;;Milk;88;ST
.1~12127;12127;G5;02;10;02/10;20/01/2021 00:00;4;20;03N;GG-T01;Milk;Trading Goods;T01;;Milk;439;ST
.1~15452;15452;H5;08;07;08/07;18/03/2021 00:00;16;77;03W;HH-T02;Cream;Trading Goods;T02;;Cream;79;ST
.1~15175;15175;H5;07;06;07/06;07/03/2021 00:00;14;66;03N;HH-T01;Milk;Trading Goods;T01;;Milk;258;ST
.1~15019;15019;H5;06;09;06/09;28/02/2021 00:00;12;59;03W;HH-T01;Milk;Trading Goods;T01;;Milk;200;ST
.1~15055;15055;H5;07;01;07/01;02/03/2021 00:00;13;61;03N;HH-T01;Milk;Trading Goods;T01;;Milk;210;ST
.1~14424;14424;H5;04;04;04/04;03/02/2021 00:00;7;34;03W;HH-T06;Ice Cream;Trading Goods;T06;;Ice Cream;123;ST
.1~14502;14502;H5;04;08;04/08;07/02/2021 00:00;8;38;03;HH-T06;Ice Cream;Trading Goods;T06;;Ice Cream;112;ST
.1~14557;14557;H5;04;10;04/10;09/02/2021 00:00;8;40;03S;HH-T01;Milk;Trading Goods;T01;;Milk;300;ST
.1~14317;14317;H5;03;10;03/10;30/01/2021 00:00;6;30;03S;HH-T01;Milk;Trading Goods;T01;;Milk;197;ST
.1~14379;14379;H5;04;03;04/03;02/02/2021 00:00;7;33;03;HH-T03;Yoghurt;Trading Goods;T03;;Yoghurt;0;ST
.1~14416;14416;H5;04;04;04/04;03/02/2021 00:00;7;34;03S;HH-T04;Cheese;Trading Goods;T04;;Cheese;58;ST
.1~14109;14109;H5;03;01;03/01;21/01/2021 00:00;5;21;03W;HH-T03;Yoghurt;Trading Goods;T03;;Yoghurt;48;ST
.1~14122;14122;H5;03;02;03/02;22/01/2021 00:00;5;22;03N;HH-T04;Cheese;Trading Goods;T04;;Cheese;21;ST
.1~14167;14167;H5;03;04;03/04;24/01/2021 00:00;5;24;03N;HH-T01;Milk;Trading Goods;T01;;Milk;0;ST
.1~14242;14242;H5;03;07;03/07;27/01/2021 00:00;6;27;03N;HH-T04;Cheese;Trading Goods;T04;;Cheese;21;ST
.1~13842;13842;H5;01;10;01/10;10/01/2021 00:00;2;10;03S;HH-T06;Ice Cream;Trading Goods;T06;;Ice Cream;100;ST
.1~13870;13870;H5;02;01;02/01;11/01/2021 00:00;3;11;03W;HH-T04;Cheese;Trading Goods;T04;;Cheese;54;ST
.1~2046;2046;B5;01;05;01/05;05/01/2021 00:00;1;5;03;BB-T06;Ice Cream;Trading Goods;T06;;Ice Cream;0;ST
.1~2052;2052;B5;01;05;01/05;05/01/2021 00:00;1;5;03N;BB-T06;Ice Cream;Trading Goods;T06;;Ice Cream;215;ST
.1~3969;3969;C5;01;04;01/04;04/01/2021 00:00;1;4;03N;CC-T03;Yoghurt;Trading Goods;T03;;Yoghurt;0;ST
.1~3998;3998;C5;01;05;01/05;05/01/2021 00:00;1;5;03S;CC-T02;Cream;Trading Goods;T02;;Cream;0;ST
.1~7794;7794;E5;01;01;01/01;01/01/2021 00:00;1;1;03S;EE-T06;Ice Cream;Trading Goods;T06;;Ice Cream;0;ST
.1~7817;7817;E5;01;02;01/02;02/01/2021 00:00;1;2;03S;EE-T05;Butter;Trading Goods;T05;;Butter;0;ST
.1~7852;7852;E5;01;04;01/04;04/01/2021 00:00;1;4;03;EE-T04;Cheese;Trading Goods;T04;;Cheese;100;ST
.1~7892;7892;E5;01;05;01/05;05/01/2021 00:00;1;5;03W;EE-T02;Cream;Trading Goods;T02;;Cream;100;ST
.1~9723;9723;F5;01;01;01/01;01/01/2021 00:00;1;1;03;FF-T03;Yoghurt;Trading Goods;T03;;Yoghurt;0;ST
.1~9817;9817;F5;01;05;01/05;05/01/2021 00:00;1;5;03;FF-T01;Milk;Trading Goods;T01;;Milk;700;ST
.1~9843;9843;F5;01;06;01/06;06/01/2021 00:00;2;6;03;FF-T03;Yoghurt;Trading Goods;T03;;Yoghurt;0;ST
.1~11675;11675;G5;01;01;01/01;01/01/2021 00:00;1;1;03N;GG-T05;Butter;Trading Goods;T05;;Butter;0;ST
.1~11688;11688;G5;01;01;01/01;01/01/2021 00:00;1;1;03W;GG-T06;Ice Cream;Trading Goods;T06;;Ice Cream;0;ST
.1~11711;11711;G5;01;02;01/02;02/01/2021 00:00;1;2;03W;GG-T05;Butter;Trading Goods;T05;;Butter;0;ST
.1~11795;11795;G5;01;06;01/06;06/01/2021 00:00;2;6;03N;GG-T05;Butter;Trading Goods;T05;;Butter;200;ST
.1~11805;11805;G5;01;06;01/06;06/01/2021 00:00;2;6;03W;GG-T03;Yoghurt;Trading Goods;T03;;Yoghurt;300;ST
.1~1845;1845;A5;08;07;08/07;18/03/2021 00:00;16;77;03W;AA-T03;Yoghurt;Trading Goods;T03;;Yoghurt;280;ST
.1~1871;1871;A5;08;08;08/08;19/03/2021 00:00;16;78;03W;AA-T05;Butter;Trading Goods;T05;;Butter;204;ST
.1~1884;1884;A5;08;09;08/09;20/03/2021 00:00;16;79;03N;AA-T06;Ice Cream;Trading Goods;T06;;Ice Cream;0;ST
.1~1663;1663;A5;07;10;07/10;11/03/2021 00:00;14;70;03N;AA-T01;Milk;Trading Goods;T01;;Milk;92;ST
.1~1689;1689;A5;08;01;08/01;12/03/2021 00:00;15;71;03N;AA-T03;Yoghurt;Trading Goods;T03;;Yoghurt;0;ST
.1~1718;1718;A5;08;02;08/02;13/03/2021 00:00;15;72;03S;AA-T02;Cream;Trading Goods;T02;;Cream;20;ST
