ID;ROW_NUMBER;COMPANY_CODE;SIM_ROUND;SIM_STEP;SIM_DATE;SIM_CALENDAR_DATE;SIM_PERIOD;SIM_ELAPSED_STEPS;GL_ACCOUNT_NUMBER;GL_ACCOUNT_NAME;FS_LEVEL_1;FS_LEVEL_2;FS_LEVEL_3;FS_LEVEL_4;DEBIT_CREDIT_INDICATOR;AMOUNT_ABS;AMOUNT;AMOUNT_INV;AMOUNT_BS;AMOUNT_IS;CURRENCY
.1~4109;4109;F5;05;06;05/06;15/02/2021 00:00;10;46;140000;Customers - Domestic Receivables;Balance Sheet;Assets;Current assets;;Debit;14142,4;14142,4;-14142,4;14142.40;0.00;EUR
.1~4113;4113;F5;05;06;05/06;15/02/2021 00:00;10;46;192100;Freight clearing (MM);Balance Sheet;Liabilities and Owners' Equity;Liabilities;Current liabilities;Credit;1000;-1000;1000;-1000.00;0.00;EUR
.1~4114;4114;F5;05;06;05/06;15/02/2021 00:00;10;46;192100;Freight clearing (MM);Balance Sheet;Liabilities and Owners' Equity;Liabilities;Current liabilities;Debit;1000;1000;-1000;1000.00;0.00;EUR
.1~4124;4124;F5;05;07;05/07;16/02/2021 00:00;10;47;400020;Raw mat.consumed/trading goods without cost center;Income Statement;Cost of Goods Sold;;;Debit;5508,89;5508,89;-5508,89;0.00;-5508.89;EUR
.1~4126;4126;F5;05;07;05/07;16/02/2021 00:00;10;47;680000;Carbon Cost - Operations;Income Statement;Cost of Goods Sold;;;Debit;39;39;-39;0.00;-39.00;EUR
.1~4127;4127;F5;05;07;05/07;16/02/2021 00:00;10;47;792000;Finished goods;Balance Sheet;Assets;Current assets;;Credit;5508,89;-5508,89;5508,89;-5508.89;0.00;EUR
.1~4128;4128;F5;05;07;05/07;16/02/2021 00:00;10;47;800000;Sales revenues - domestic;Income Statement;Revenues;;;Credit;5934;-5934;5934;0.00;5934.00;EUR
.1~4129;4129;F5;05;08;05/08;17/02/2021 00:00;10;48;113300;Bank Cash Account;Balance Sheet;Assets;Current assets;;Credit;345;-345;345;-345.00;0.00;EUR
.1~4130;4130;F5;05;08;05/08;17/02/2021 00:00;10;48;113300;Bank Cash Account;Balance Sheet;Assets;Current assets;;Debit;9015;9015;-9015;9015.00;0.00;EUR
.1~4135;4135;F5;05;08;05/08;17/02/2021 00:00;10;48;680000;Carbon Cost - Operations;Income Statement;Cost of Goods Sold;;;Debit;45;45;-45;0.00;-45.00;EUR
.1~4136;4136;F5;05;08;05/08;17/02/2021 00:00;10;48;792000;Finished goods;Balance Sheet;Assets;Current assets;;Credit;50769,59;-50769,59;50769,59;-50769.59;0.00;EUR
.1~4140;4140;F5;05;09;05/09;18/02/2021 00:00;10;49;140000;Customers - Domestic Receivables;Balance Sheet;Assets;Current assets;;Credit;5301,9;-5301,9;5301,9;-5301.90;0.00;EUR
.1~4141;4141;F5;05;09;05/09;18/02/2021 00:00;10;49;140000;Customers - Domestic Receivables;Balance Sheet;Assets;Current assets;;Debit;37395,7;37395,7;-37395,7;37395.70;0.00;EUR
.1~4150;4150;F5;05;10;05/10;19/02/2021 00:00;10;50;160000;Accounts payable-domestic;Balance Sheet;Liabilities and Owners' Equity;Liabilities;Current liabilities;Credit;91555,93;-91555,93;91555,93;-91555.93;0.00;EUR
.1~4151;4151;F5;05;10;05/10;19/02/2021 00:00;10;50;191100;GR/IR Clearing - External procurement;Balance Sheet;Liabilities and Owners' Equity;Liabilities;Current liabilities;Credit;90555,93;-90555,93;90555,93;-90555.93;0.00;EUR
