ID;ROW_NUMBER;PLANT;MATERIAL_NUMBER;MATERIAL_DESCRIPTION;STORAGE_LOCATION;STOCK;RESTRICTED;UNIT
.1~84;84;D9;DD-T06;Ice Cream;03N;0;0;ST
.1~85;85;D9;DD-T01;Milk;03S;177;0;ST
.1~86;86;D9;DD-T02;Cream;03S;82;0;ST
.1~87;87;D9;DD-T03;Yoghurt;03S;0;0;ST
.1~88;88;D9;DD-T04;Cheese;03S;110;0;ST
.1~89;89;D9;DD-T05;Butter;03S;112;0;ST
.1~90;90;D9;DD-T06;Ice Cream;03S;0;0;ST
.1~91;91;D9;DD-T01;Milk;03W;85;0;ST
.1~92;92;D9;DD-T02;Cream;03W;100;0;ST
.1~93;93;D9;DD-T03;Yoghurt;03W;230;0;ST
.1~94;94;D9;DD-T04;Cheese;03W;110;0;ST
.1~95;95;D9;DD-T05;Butter;03W;130;0;ST
.1~96;96;D9;DD-T06;Ice Cream;03W;100;0;ST
.1~97;97;E9;EE-T01;Milk;03;1305;0;ST
.1~98;98;E9;EE-T02;Cream;03;380;0;ST
.1~99;99;E9;EE-T03;Yoghurt;03;951;0;ST
.1~100;100;E9;EE-T04;Cheese;03;350;0;ST
.1~101;101;E9;EE-T05;Butter;03;400;0;ST
.1~102;102;E9;EE-T06;Ice Cream;03;300;0;ST
.1~103;103;E9;EE-T01;Milk;03N;246;0;ST
.1~104;104;E9;EE-T02;Cream;03N;70;0;ST
.1~105;105;E9;EE-T03;Yoghurt;03N;85;0;ST
.1~106;106;E9;EE-T04;Cheese;03N;58;0;ST
.1~107;107;E9;EE-T05;Butter;03N;131;0;ST
.1~108;108;E9;EE-T06;Ice Cream;03N;136;0;ST
.1~109;109;E9;EE-T01;Milk;03S;0;0;ST
.1~110;110;E9;EE-T02;Cream;03S;83;0;ST
.1~111;111;E9;EE-T03;Yoghurt;03S;120;0;ST
.1~112;112;E9;EE-T04;Cheese;03S;39;0;ST
.1~113;113;E9;EE-T05;Butter;03S;216;0;ST
.1~114;114;E9;EE-T06;Ice Cream;03S;106;0;ST
.1~115;115;E9;EE-T01;Milk;03W;67;0;ST
.1~116;116;E9;EE-T02;Cream;03W;45;0;ST
.1~117;117;E9;EE-T03;Yoghurt;03W;55;0;ST
.1~118;118;E9;EE-T04;Cheese;03W;253;0;ST
.1~119;119;E9;EE-T05;Butter;03W;34;0;ST
.1~120;120;E9;EE-T06;Ice Cream;03W;58;0;ST
