ID;ROW_NUMBER;COMPANY_CODE;SALES_ORGANIZATION;SIM_ROUND;SIM_PERIOD;MATERIAL_DESCRIPTION;DISTRIBUTION_CHANNEL;AREA;QUANTITY;UNIT;AVERAGE_PRICE;NET_VALUE;CURRENCY
.1~280;280;D9;Company;01;2;Yoghurt;16;West;0;;0;0;
.1~282;282;E9;Company;01;1;Butter;16;North;0;;0;0;
.1~284;284;E9;Company;01;1;Butter;16;South;0;;0;0;
.1~286;286;E9;Company;01;1;Butter;16;West;0;;0;0;
.1~288;288;E9;Company;01;1;Cheese;16;North;0;;0;0;
.1~290;290;E9;Company;01;1;Cheese;16;South;0;;0;0;
.1~292;292;E9;Company;01;1;Cheese;16;West;0;;0;0;
.1~294;294;E9;Company;01;1;Cream;16;North;0;;0;0;
.1~296;296;E9;Company;01;1;Cream;16;South;0;;0;0;
.1~298;298;E9;Company;01;1;Ice Cream;16;North;0;;0;0;
.1~300;300;E9;Company;01;1;Ice Cream;16;South;0;;0;0;
.1~302;302;E9;Company;01;1;Ice Cream;16;West;0;;0;0;
.1~306;306;E9;Company;01;1;Milk;16;South;0;;0;0;
.1~310;310;E9;Company;01;1;Yoghurt;16;North;0;;0;0;
.1~314;314;E9;Company;01;1;Yoghurt;16;West;0;;0;0;
.1~316;316;E9;Company;01;2;Butter;16;North;0;;0;0;
.1~320;320;E9;Company;01;2;Butter;16;West;0;;0;0;
.1~322;322;E9;Company;01;2;Cheese;16;North;0;;0;0;
.1~324;324;E9;Company;01;2;Cheese;16;South;0;;0;0;
.1~326;326;E9;Company;01;2;Cheese;16;West;0;;0;0;
.1~328;328;E9;Company;01;2;Cream;16;North;0;;0;0;
.1~332;332;E9;Company;01;2;Cream;16;West;0;;0;0;
.1~334;334;E9;Company;01;2;Ice Cream;16;North;0;;0;0;
.1~336;336;E9;Company;01;2;Ice Cream;16;South;0;;0;0;
.1~338;338;E9;Company;01;2;Ice Cream;16;West;0;;0;0;
.1~346;346;E9;Company;01;2;Yoghurt;16;North;0;;0;0;
.1~350;350;E9;Company;01;2;Yoghurt;16;West;0;;0;0;
.1~6;6;A9;Company;01;1;Butter;16;West;24;ST;72,46;1739,04;EUR
.1~22;22;A9;Company;01;1;Ice Cream;16;West;34;ST;52,22;1775,48;EUR
.1~82;82;B9;Company;01;1;Cheese;16;West;16;ST;97,32;1557,12;EUR
.1~92;92;B9;Company;01;1;Ice Cream;16;West;44;ST;50,79;2234,76;EUR
.1~98;98;B9;Company;01;1;Milk;16;West;75;ST;27,02;2026,5;EUR
.1~104;104;B9;Company;01;1;Yoghurt;16;West;61;ST;30,42;1855,62;EUR
.1~116;116;B9;Company;01;2;Cheese;16;West;60;ST;97,32;5839,2;EUR
.1~122;122;B9;Company;01;2;Cream;16;West;19;ST;85,36;1621,84;EUR
.1~134;134;B9;Company;01;2;Milk;16;West;255;ST;27,02;6890,1;EUR
.1~140;140;B9;Company;01;2;Yoghurt;16;West;130;ST;30,42;3954,6;EUR
.1~152;152;C9;Company;01;1;Cheese;16;West;22;ST;109,14;2401,08;EUR
.1~168;168;C9;Company;01;1;Milk;16;West;170;ST;30,3;5151;EUR
.1~180;180;C9;Company;01;2;Butter;16;West;27;ST;60,47;1632,69;EUR
.1~186;186;C9;Company;01;2;Cheese;16;West;40;ST;92,77;3710,8;EUR
.1~192;192;C9;Company;01;2;Cream;16;West;23;ST;73,24;1684,52;EUR
.1~198;198;C9;Company;01;2;Ice Cream;16;West;32;ST;56,96;1822,72;EUR
