ID;ROW_NUMBER;PLANT;SIM_ROUND;SIM_STEP;SIM_DATE;SIM_CALENDAR_DATE;SIM_PERIOD;SIM_ELAPSED_STEPS;EVENT_TYPE;DOCUMENT_TYPE;MOVEMENT_TYPE;STORAGE_LOCATION;MATERIAL_NUMBER;MATERIAL_DESCRIPTION;MATERIAL_TYPE;MATERIAL_CODE;MATERIAL_SIZE;MATERIAL_LABEL;DEBIT_CREDIT_INDICATOR;UNIT;QUANTITY_ABS;QUANTITY
.1~542;542;E9;01;06;01/06;06/01/2021 00:00;2;6;GI, Trsfr Posting, Other Goods Movement;Goods Issue;TF trfr plnt to plnt;03S;EE-T01;Milk;Trading Goods;T01;;Milk;Debit;ST;14;14
.1~585;585;E9;01;07;01/07;07/01/2021 00:00;2;7;GI, Trsfr Posting, Other Goods Movement;Goods Issue;TF trfr plnt to plnt;03N;EE-T06;Ice Cream;Trading Goods;T06;;Ice Cream;Debit;ST;52;52
.1~539;539;E9;01;05;01/05;05/01/2021 00:00;1;5;GI, Trsfr Posting, Other Goods Movement;Goods Issue;TF trfr plnt to plnt;03W;EE-T06;Ice Cream;Trading Goods;T06;;Ice Cream;Debit;ST;12;12
.1~547;547;E9;01;06;01/06;06/01/2021 00:00;2;6;GI, Trsfr Posting, Other Goods Movement;Goods Issue;TF trfr plnt to plnt;03N;EE-T02;Cream;Trading Goods;T02;;Cream;Debit;ST;14;14
.1~546;546;E9;01;06;01/06;06/01/2021 00:00;2;6;GI, Trsfr Posting, Other Goods Movement;Goods Issue;TF trfr plnt to plnt;03W;EE-T02;Cream;Trading Goods;T02;;Cream;Debit;ST;9;9
.1~528;528;E9;01;05;01/05;05/01/2021 00:00;1;5;GI, Trsfr Posting, Other Goods Movement;Goods Issue;TF trfr plnt to plnt;03W;EE-T04;Cheese;Trading Goods;T04;;Cheese;Debit;ST;102;102
.1~558;558;E9;01;06;01/06;06/01/2021 00:00;2;6;GI, Trsfr Posting, Other Goods Movement;Goods Issue;TF trfr plnt to plnt;03S;EE-T05;Butter;Trading Goods;T05;;Butter;Debit;ST;54;54
.1~526;526;E9;01;05;01/05;05/01/2021 00:00;1;5;GI, Trsfr Posting, Other Goods Movement;Goods Issue;TF trfr plnt to plnt;03N;EE-T03;Yoghurt;Trading Goods;T03;;Yoghurt;Debit;ST;17;17
.1~500;500;E9;01;04;01/04;04/01/2021 00:00;1;4;GI, Trsfr Posting, Other Goods Movement;Goods Issue;TF trfr plnt to plnt;03W;EE-T03;Yoghurt;Trading Goods;T03;;Yoghurt;Debit;ST;11;11
.1~490;490;E9;01;04;01/04;04/01/2021 00:00;1;4;GI, Trsfr Posting, Other Goods Movement;Goods Issue;TF trfr plnt to plnt;03S;EE-T01;Milk;Trading Goods;T01;;Milk;Debit;ST;14;14
.1~573;573;E9;01;07;01/07;07/01/2021 00:00;2;7;GI, Trsfr Posting, Other Goods Movement;Goods Issue;TF trfr plnt to plnt;03N;EE-T02;Cream;Trading Goods;T02;;Cream;Debit;ST;28;28
.1~494;494;E9;01;04;01/04;04/01/2021 00:00;1;4;GI, Trsfr Posting, Other Goods Movement;Goods Issue;TF trfr plnt to plnt;03W;EE-T02;Cream;Trading Goods;T02;;Cream;Debit;ST;9;9
.1~557;557;E9;01;06;01/06;06/01/2021 00:00;2;6;GI, Trsfr Posting, Other Goods Movement;Goods Issue;TF trfr plnt to plnt;03W;EE-T04;Cheese;Trading Goods;T04;;Cheese;Debit;ST;49;49
.1~530;530;E9;01;05;01/05;05/01/2021 00:00;1;5;GI, Trsfr Posting, Other Goods Movement;Goods Issue;TF trfr plnt to plnt;03N;EE-T04;Cheese;Trading Goods;T04;;Cheese;Debit;ST;23;23
.1~581;581;E9;01;07;01/07;07/01/2021 00:00;2;7;GI, Trsfr Posting, Other Goods Movement;Goods Issue;TF trfr plnt to plnt;03N;EE-T05;Butter;Trading Goods;T05;;Butter;Debit;ST;41;41
.1~535;535;E9;01;05;01/05;05/01/2021 00:00;1;5;GI, Trsfr Posting, Other Goods Movement;Goods Issue;TF trfr plnt to plnt;03W;EE-T05;Butter;Trading Goods;T05;;Butter;Debit;ST;8;8
.1~579;579;E9;01;07;01/07;07/01/2021 00:00;2;7;GI, Trsfr Posting, Other Goods Movement;Goods Issue;TF trfr plnt to plnt;03W;EE-T03;Yoghurt;Trading Goods;T03;;Yoghurt;Debit;ST;22;22
