ID;ROW_NUMBER;PLANT;SIM_ROUND;SIM_STEP;SIM_DATE;SIM_CALENDAR_DATE;SIM_PERIOD;SIM_ELAPSED_STEPS;STORAGE_LOCATION;MATERIAL_NUMBER;MATERIAL_DESCRIPTION;MATERIAL_TYPE;MATERIAL_CODE;MATERIAL_SIZE;MATERIAL_LABEL;UNIT;QUANTITY
.1~105;105;B9;01;07;01/07;07/01/2021 00:00;2;7;03S;BB-T02;Cream;Trading Goods;T02;;Cream;ST;19
.1~169;169;C9;01;10;01/10;10/01/2021 00:00;2;10;03S;CC-T02;Cream;Trading Goods;T02;;Cream;ST;100
.1~24;24;A9;01;03;01/03;03/01/2021 00:00;1;3;03S;AA-T02;Cream;Trading Goods;T02;;Cream;ST;40
.1~143;143;C9;01;03;01/03;03/01/2021 00:00;1;3;03S;CC-T02;Cream;Trading Goods;T02;;Cream;ST;5
.1~144;144;C9;01;03;01/03;03/01/2021 00:00;1;3;03N;CC-T02;Cream;Trading Goods;T02;;Cream;ST;5
.1~145;145;C9;01;03;01/03;03/01/2021 00:00;1;3;03W;CC-T02;Cream;Trading Goods;T02;;Cream;ST;5
.1~23;23;A9;01;03;01/03;03/01/2021 00:00;1;3;03N;AA-T02;Cream;Trading Goods;T02;;Cream;ST;40
.1~110;110;B9;01;09;01/09;09/01/2021 00:00;2;9;03W;BB-T02;Cream;Trading Goods;T02;;Cream;ST;19
.1~22;22;A9;01;03;01/03;03/01/2021 00:00;1;3;03W;AA-T02;Cream;Trading Goods;T02;;Cream;ST;40
.1~66;66;A9;01;10;01/10;10/01/2021 00:00;2;10;03W;AA-T02;Cream;Trading Goods;T02;;Cream;ST;40
.1~65;65;A9;01;10;01/10;10/01/2021 00:00;2;10;03N;AA-T02;Cream;Trading Goods;T02;;Cream;ST;40
.1~48;48;A9;01;08;01/08;08/01/2021 00:00;2;8;03S;AA-T02;Cream;Trading Goods;T02;;Cream;ST;60
.1~64;64;A9;01;10;01/10;10/01/2021 00:00;2;10;03S;AA-T02;Cream;Trading Goods;T02;;Cream;ST;40
.1~47;47;A9;01;08;01/08;08/01/2021 00:00;2;8;03N;AA-T02;Cream;Trading Goods;T02;;Cream;ST;60
.1~46;46;A9;01;08;01/08;08/01/2021 00:00;2;8;03W;AA-T02;Cream;Trading Goods;T02;;Cream;ST;60
.1~35;35;A9;01;03;01/03;03/01/2021 00:00;1;3;03W;AA-T06;Ice Cream;Trading Goods;T06;;Ice Cream;ST;50
.1~34;34;A9;01;03;01/03;03/01/2021 00:00;1;3;03S;AA-T06;Ice Cream;Trading Goods;T06;;Ice Cream;ST;50
.1~183;183;C9;01;10;01/10;10/01/2021 00:00;2;10;03N;CC-T06;Ice Cream;Trading Goods;T06;;Ice Cream;ST;60
.1~182;182;C9;01;10;01/10;10/01/2021 00:00;2;10;03S;CC-T06;Ice Cream;Trading Goods;T06;;Ice Cream;ST;60
